stage,tissue,rep,reps,time,SL.ID,forebrain,midbrain,hindbrain,cranioface,neural.tube,liver,heart,limb,stomach,intestine,kidney,lung
e10.5,forebrain,1,1,10.5,SL236331,1,0,0,0,0,0,0,0,0,0,0,0
e10.5,forebrain,2,1,10.5,SL236332,1,0,0,0,0,0,0,0,0,0,0,0
e11.5,forebrain,1,2,11.5,SL107900,1,0,0,0,0,0,0,0,0,0,0,0
e11.5,forebrain,2,2,11.5,SL107901,1,0,0,0,0,0,0,0,0,0,0,0
e12.5,forebrain,1,3,12.5,SL236323,1,0,0,0,0,0,0,0,0,0,0,0
e12.5,forebrain,2,3,12.5,SL236334,1,0,0,0,0,0,0,0,0,0,0,0
e13.5,forebrain,1,4,13.5,SL139062,1,0,0,0,0,0,0,0,0,0,0,0
e13.5,forebrain,2,4,13.5,SL139063,1,0,0,0,0,0,0,0,0,0,0,0
e14.5,forebrain,1,5,14.5,SL108096,1,0,0,0,0,0,0,0,0,0,0,0
e14.5,forebrain,2,5,14.5,SL108097,1,0,0,0,0,0,0,0,0,0,0,0
e15.5,forebrain,1,6,15.5,SL139078,1,0,0,0,0,0,0,0,0,0,0,0
e15.5,forebrain,2,6,15.5,SL139079,1,0,0,0,0,0,0,0,0,0,0,0
e16.5,forebrain,1,7,16.5,SL139115,1,0,0,0,0,0,0,0,0,0,0,0
e16.5,forebrain,2,7,16.5,SL139116,1,0,0,0,0,0,0,0,0,0,0,0
P0,forebrain,1,8,18.5,SL113837,1,0,0,0,0,0,0,0,0,0,0,0
P0,forebrain,2,8,18.5,SL113838,1,0,0,0,0,0,0,0,0,0,0,0
e10.5,midbrain,1,9,10.5,SL236333,0,1,0,0,0,0,0,0,0,0,0,0
e10.5,midbrain,2,9,10.5,SL236335,0,1,0,0,0,0,0,0,0,0,0,0
e11.5,midbrain,1,10,11.5,SL107902,0,1,0,0,0,0,0,0,0,0,0,0
e11.5,midbrain,2,10,11.5,SL107903,0,1,0,0,0,0,0,0,0,0,0,0
e12.5,midbrain,1,11,12.5,SL236344,0,1,0,0,0,0,0,0,0,0,0,0
e12.5,midbrain,2,11,12.5,SL236345,0,1,0,0,0,0,0,0,0,0,0,0
e13.5,midbrain,1,12,13.5,SL139064,0,1,0,0,0,0,0,0,0,0,0,0
e13.5,midbrain,2,12,13.5,SL139065,0,1,0,0,0,0,0,0,0,0,0,0
e14.5,midbrain,1,13,14.5,SL108098,0,1,0,0,0,0,0,0,0,0,0,0
e14.5,midbrain,2,13,14.5,SL108099,0,1,0,0,0,0,0,0,0,0,0,0
