stage,tissue,rep,reps,SL.ID
e10.5,forebrain,1,1,SL236331
e10.5,forebrain,2,1,SL236332
e11.5,forebrain,1,2,SL107900
e11.5,forebrain,2,2,SL107901
e12.5,forebrain,1,3,SL236323
e12.5,forebrain,2,3,SL236334
e13.5,forebrain,1,4,SL139062
e13.5,forebrain,2,4,SL139063
e14.5,forebrain,1,5,SL108096
e14.5,forebrain,2,5,SL108097
e15.5,forebrain,1,6,SL139078
e15.5,forebrain,2,6,SL139079
e16.5,forebrain,1,7,SL139115
e16.5,forebrain,2,7,SL139116
P0,forebrain,1,8,SL113837
P0,forebrain,2,8,SL113838
e10.5,midbrain,1,9,SL236333
e10.5,midbrain,2,9,SL236335
e11.5,midbrain,1,10,SL107902
e11.5,midbrain,2,10,SL107903
e12.5,midbrain,1,11,SL236344
e12.5,midbrain,2,11,SL236345
e13.5,midbrain,1,12,SL139064
e13.5,midbrain,2,12,SL139065
e14.5,midbrain,1,13,SL108098
e14.5,midbrain,2,13,SL108099
e15.5,midbrain,1,14,SL139080
e15.5,midbrain,2,14,SL139081
e16.5,midbrain,1,15,SL139117
e16.5,midbrain,2,15,SL139118
P0,midbrain,1,16,SL113839
P0,midbrain,2,16,SL113840
e10.5,hindbrain,1,17,SL236336
e10.5,hindbrain,2,17,SL236337
e11.5,hindbrain,1,18,SL107904
e11.5,hindbrain,2,18,SL107905
e12.5,hindbrain,1,19,SL236346
e12.5,hindbrain,2,19,SL236347
e13.5,hindbrain,1,20,SL139066
e13.5,hindbrain,2,20,SL139067
e14.5,hindbrain,1,21,SL108100
e14.5,hindbrain,2,21,SL108101
e15.5,hindbrain,1,22,SL139082
e15.5,hindbrain,2,22,SL139083
e16.5,hindbrain,1,23,SL139119
e16.5,hindbrain,2,23,SL139120
P0,hindbrain,1,24,SL113841
P0,hindbrain,2,24,SL113842
e10.5,cranioface,1,25,SL236338
e10.5,cranioface,2,25,SL236339
e11.5,cranioface,1,26,SL107906
e11.5,cranioface,2,26,SL107907
e12.5,cranioface,1,27,SL236325
e12.5,cranioface,2,27,SL236326
e13.5,cranioface,1,28,SL139068
e13.5,cranioface,2,28,SL139069
e14.5,cranioface,1,29,SL108102
e14.5,cranioface,2,29,SL108103
e15.5,cranioface,1,30,SL139111
e15.5,cranioface,2,30,SL139112
e16.5,cranioface,1,31,t1
e16.5,cranioface,2,31,t2
P0,cranioface,1,32,t3
P0,cranioface,2,32,t4
e10.5,neural.tube,1,33,t5
e10.5,neural.tube,2,33,t6
e11.5,neural.tube,1,34,SL108094
e11.5,neural.tube,2,34,SL108095
e12.5,neural.tube,1,35,SL236329
e12.5,neural.tube,2,35,SL236330
e13.5,neural.tube,1,36,SL139076
e13.5,neural.tube,2,36,SL139077
e14.5,neural.tube,1,37,SL113831
e14.5,neural.tube,2,37,SL113832
e15.5,neural.tube,1,38,SL139113
e15.5,neural.tube,2,38,SL139114
e16.5,neural.tube,1,39,t7
e16.5,neural.tube,2,39,t8
P0,neural.tube,1,40,SL113843
P0,neural.tube,2,40,SL113844
e10.5,liver,1,41,t9
e10.5,liver,2,41,t10
e11.5,liver,1,42,SL107910
e11.5,liver,2,42,SL107911
e12.5,liver,1,43,SL236327
e12.5,liver,2,43,SL236328
e13.5,liver,1,44,SL139074
e13.5,liver,2,44,SL139075
e14.5,liver,1,45,SL113819
e14.5,liver,2,45,SL113820
e15.5,liver,1,46,SL139088
e15.5,liver,2,46,SL139089
e16.5,liver,1,47,SL139092
e16.5,liver,2,47,SL139093
P0,liver,1,48,SL113851
P0,liver,2,48,SL113852
e10.5,heart,1,49,SL236340
e10.5,heart,2,49,SL236341
e11.5,heart,1,50,SL107908
e11.5,heart,2,50,SL107909
e12.5,heart,1,51,SL236348
e12.5,heart,2,51,SL236349
